,Name,운영체제(OS),CPU,램,그래픽,저장장치,파워,무게(kg),PD충전,CPU_Score,GPU_Score,inch,ppi,Screen_Brightness,Screen_Refresh_Rate,Manufacturer,Value_Point,Value_for_Money_Point,Price_won
0,APPLE 2021 맥북프로16 MK183KH/A M1 Max,macOS Monterey,애플(ARM) / 실리콘 M1 MAX / APL1104 / 10코어(8+2), 용량: 32GB / 램 교체: 불가능,내장그래픽 / M1 MAX 32 core,SSD / 512GB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3,2.2,USB-PD,22074.0,11000.0,16.2,136.0,1000.0,120.0,APPLE,7.1526809671392275,186.192092981477,3931560.0
1,APPLE 2022 맥북에어13 MLXW3KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 8 core,SSD / 256GB,배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,4623.0,13.6,162.0,500.0,60.0,APPLE,6.405231739715148,490.4427791299567,1396010.0
2,APPLE 2022 맥북에어13 MLY03KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 512GB,배터리: 52.6Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,5080.0,13.6,162.0,500.0,60.0,APPLE,6.468837389483591,388.38113758389466,1755590.0
3,APPLE 2022 맥북에어13 MLY33KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 8 core,SSD / 256GB,배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,4623.0,13.6,162.0,500.0,60.0,APPLE,6.405231739715148,498.5974187300159,1374650.0
4,APPLE 2022 맥북에어13 MLY43KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 512GB,배터리: 52.6Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.24,USB-PD,15344.0,5080.0,13.6,162.0,500.0,60.0,APPLE,6.468837389483591,398.37893997891297,1713790.0
5,APPLE 2023 맥북에어15 MQKP3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.294647136283481,383.841011780127,1729910.0
6,APPLE 2023 맥북에어15 MQKR3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.294647136283481,380.7323012328967,1743300.0
7,APPLE 2023 맥북에어15 MQKT3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 512GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.344818721733034,323.8573415750296,2049140.0
8,APPLE 2023 맥북에어15 MQKU3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4), 용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,1.51,USB-PD,15344.0,5080.0,15.3,144.0,500.0,60.0,APPLE,6.294647136283481,371.13789393431057,1786040.0
9,APPLE 2023 맥북프로14 MPHE3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 10코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 16core,SSD / 512GB,배터리: 70Wh / 어댑터: 67W / 충전단자: MagSafe 3 / 최대18시간,1.6,USB-PD,21644.0,8296.0,14.2,155.0,1000.0,120.0,APPLE,7.041233047233112,290.96004327409554,2510000.0
10,APPLE 2023 맥북프로14 MPHF3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 70Wh / 어댑터: 96W / 충전단자: MagSafe 3 / 최대18시간,1.6,USB-PD,26417.0,8920.0,14.2,155.0,1000.0,120.0,APPLE,7.174475132653749,229.87818393053962,3210990.0
11,APPLE 2023 맥북프로14 MPHH3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 10코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 16core,SSD / 512GB,배터리: 70Wh / 어댑터: 67W / 충전단자: MagSafe 3 / 최대18시간,1.6,USB-PD,21644.0,8296.0,14.2,155.0,1000.0,120.0,APPLE,7.041233047233112,290.84106283929765,2510990.0
12,APPLE 2023 맥북프로14 MPHJ3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 70Wh / 어댑터: 96W / 충전단자: MagSafe 3 / 최대18시간,1.6,USB-PD,26417.0,8920.0,14.2,155.0,1000.0,120.0,APPLE,7.174475132653749,222.5326575492554,3314010.0
13,APPLE 2023 맥북프로16 MNW93KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,2.15,USB-PD,26417.0,8920.0,16.2,136.0,1000.0,120.0,APPLE,7.145095350193477,223.5776753924988,3285800.0
14,APPLE 2023 맥북프로16 MNWA3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Max / 12코어, 용량: 32GB / 램 교체: 불가능,내장그래픽 / M2 Max 38core,SSD / 1TB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,2.16,USB-PD,26256.0,13869.0,16.2,136.0,1000.0,120.0,APPLE,7.353406535988739,151.40403960601176,4946810.0
15,APPLE 2023 맥북프로16 MNWC3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 512GB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,2.15,USB-PD,26417.0,8920.0,16.2,136.0,1000.0,120.0,APPLE,7.0802017331722,243.81783515120063,2993890.0
16,APPLE 2023 맥북프로16 MNWD3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,2.15,USB-PD,26417.0,8920.0,16.2,136.0,1000.0,120.0,APPLE,7.145095350193477,223.49375508894207,3287000.0
17,ASUS ProArt Studiobook 16 OLED H7604JV-MY072X 64GB램,윈도우11프로,인텔 / 코어i9-13세대 / i9-13980HX (2.2GHz) / 24코어(8P+16E),DR5 / 램 용량: 64GB / 5200MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 130W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.4,USB-PD,48175.0,6982.0,16.0,138.0,500.0,120.0,ASUS,6.615088449391291,206.72151404347784,3290000.0
18,ASUS ROG STRIX G16 G614JV-N3031,미포함(프리도스),인텔 / 코어i7-13세대 / i7-13650HX (2.6GHz) / 14코어(6P+8E),DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,2.5,USB-PD,32021.0,6982.0,16.0,138.0,250.0,165.0,ASUS,6.148758673172912,341.7875860574159,1799000.0
19,ASUS ROG STRIX G17 G713PI-LL005 64GB램,미포함(프리도스),AMD / 라이젠9(Zen4) / 7945HX (2.5Hz) / 16코어,DR5 / 램 용량: 64GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4070 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 1TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,2.8,USB-PD,56920.0,9755.0,17.3,127.0,300.0,240.0,ASUS,6.779892784774856,236.4556476397606,2867300.0
20,ASUS ROG STRIX G18 G814JV-N5002 WIN11 32GB램,윈도우11(설치),인텔 / 코어i7-13세대 / i7-13650HX (2.6GHz) / 14코어(6P+8E),DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,3.0,USB-PD,32021.0,6982.0,18.0,122.0,300.0,165.0,ASUS,6.05684191048318,346.26750308619927,1839180.0
21,ASUS ROG STRIX G18 G814JV-N6024,미포함(프리도스),인텔 / 코어i9-13세대 / i9-13980HX (2.2GHz) / 24코어(8P+16E),DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,3.0,USB-PD,48175.0,6982.0,18.0,122.0,500.0,240.0,ASUS,6.6177718952307405,288.8116285919725,2291380.0
22,ASUS ROG STRIX G18 G814JV-N6069OS,미포함(프리도스),인텔 / 코어i7-13세대 / i7-13650HX (2.6GHz) / 14코어(6P+8E),DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,3.0,USB-PD,32021.0,6982.0,18.0,122.0,500.0,240.0,ASUS,6.250659114784254,281.3419774132885,2221730.0
23,ASUS ROG 제피러스 G14 GA402XI-N2042,미포함(프리도스),AMD / 라이젠9(Zen4) / 7940HS (4.0Hz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 램 교체: 가능(1슬롯),외장그래픽 / RTX4070 / TGP: 125W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 1개,배터리: 76Wh / 어댑터: 240W / 충전단자: DC,1.65,USB-PD,28435.0,9755.0,14.0,157.0,500.0,165.0,ASUS,6.5477222960674535,272.974172916022,2398660.0
24,ASUS ROG 제피러스 G14 GA402XU-N2055,미포함(프리도스),AMD / 라이젠9(Zen4) / 7940HS (4.0Hz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 램 교체: 가능(1슬롯),외장그래픽 / RTX4050 / TGP: 120W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 1개,배터리: 76Wh / 어댑터: 240W / 충전단자: DC,1.65,USB-PD,28435.0,6051.0,14.0,157.0,500.0,165.0,ASUS,6.438838763819821,337.2850344061257,1909020.0
25,ASUS ROG 제피러스 G15 GA503RM-HQ060,미포함(프리도스),AMD / 라이젠7-5세대 / 6800HS (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능(1슬롯),외장그래픽 / RTX3060 / TGP: 120W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 200W / 충전단자: DC,1.9,USB-PD,22624.0,6697.0,15.6,141.0,300.0,165.0,ASUS,6.254803805900034,438.89972043561784,1425110.0
26,ASUS ROG 제피러스 G16 GU603VV-N4051,미포함(프리도스),인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),DR4 / 램 용량: 16GB / 3200MHz / 램 교체: 가능(1슬롯),외장그래픽 / RTX4060 / TGP: 120W / VRAM:8GB,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.0,USB-PD,30294.0,1445.0,16.0,138.0,500.0,240.0,ASUS,6.398079494882951,294.5261306929863,2172330.0
27,ASUS ROG 제피러스 M16 GU603ZX-K8001W,윈도우11홈,인텔 / 코어i9-12세대 / i9-12900H (2.5GHz) / 14코어(6P+8E),DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능(1슬롯),외장그래픽 / RTX3080 Ti / TGP: 120W / VRAM:16GB / MUX 스위치,M.2(NVMe) / 2TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,1.9,USB-PD,28146.0,9952.0,16.0,138.0,500.0,165.0,ASUS,6.716823452525152,273.2648811640874,2547990.0
28,ASUS ROG 제피러스 듀오 16 GX650RS-LB043W,윈도우11홈,AMD / 라이젠9-5세대 / 6900HX (3.3GHz) / 옥타(8)코어,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3080 / TGP: 150W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 2TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,2.55,USB-PD,24924.0,9952.0,16.0,138.0,500.0,120.0,ASUS,6.64314511162196,263.43915262013564,2611700.0
29,ASUS ROG 제피러스 듀오 16 GX650RX-LB152W,윈도우11홈,AMD / 라이젠9-5세대 / 6900HX (3.3GHz) / 옥타(8)코어,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3080 Ti / TGP: 150W / VRAM:16GB / MUX 스위치,M.2(NVMe) / 4TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,2.55,USB-PD,24924.0,9952.0,16.0,138.0,500.0,120.0,ASUS,6.776123835026216,252.93482026973558,2769000.0
30,ASUS TUF Gaming A15 FA507NU-R7735D,미포함(프리도스),AMD / 라이젠7(Zen3+) / 7735HS (3.2Hz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4050 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,USB-PD,24162.0,6051.0,15.6,141.0,250.0,144.0,ASUS,6.067549939377573,522.3621628996843,1161560.0
31,ASUS TUF Gaming A15 FA507RM-HN058,미포함(프리도스),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.0704267376313314,552.3591208035788,1099000.0
32,ASUS TUF Gaming A15 FA507RM-HN058 32GB램,미포함(프리도스),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.1349428666635895,447.80604866157586,1370000.0
33,ASUS TUF Gaming A15 FA507RM-HN058 64GB램,미포함(프리도스),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 64GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.2639751247281055,404.1274274018133,1550000.0
34,ASUS TUF Gaming A15 FA507RM-HN058 WIN11,윈도우11(설치),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.0704267376313314,489.5505433573654,1330000.0
35,ASUS TUF Gaming A15 FA507RM-HN058 WIN11 32GB램,윈도우11(설치),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.1349428666635895,468.31624936363283,1400000.0
36,ASUS TUF Gaming A15 FA507RM-HN058 WIN11 64GB램,윈도우11(설치),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 64GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.2639751247281055,417.5983416485404,1590000.0
37,ASUS TUF Gaming A16 FA617NS-N4096 WIN11 16GB램,윈도우11(설치),AMD / 라이젠7(Zen3+) / 7735HS (3.2Hz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / 라데온 RX 7600S / TGP: 95W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,USB-PD,24162.0,9372.0,16.0,138.0,500.0,240.0,ASUS,6.467066447114273,434.8250798178065,1577280.0
38,ASUS TUF Gaming F15 FX506HF-HN001,미포함(프리도스),인텔 / 코어i5-11세대 / i5-11400H (2.7GHz) / 헥사(6)코어,DR4 / 램 용량: 8GB / 3200MHz / 램 교체: 가능,외장그래픽 / RTX2050 / TGP: 55W / VRAM:4GB,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 48Wh / 어댑터: 150W / 충전단자: DC,2.3,,15856.0,3860.0,15.6,141.0,250.0,144.0,ASUS,5.740207138510782,547.7349152673959,1047990.0
39,ASUS 비보북 15 X1504ZA-BQ387,미포함(프리도스),인텔 / 코어i3-12세대 / i3-1215U (1.2GHz) / 헥사코어(2P+4E),DR4 / 램 용량: 8GB / 램 교체: 가능(1슬롯),내장그래픽 / UHD Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,1.7,,11181.0,595.0,15.6,141.0,250.0,60.0,ASUS,5.286287786320121,1324.8841569724614,399000.0
40,ASUS 비보북 M1502QA-R5722D,미포함(프리도스),AMD / 라이젠7-4세대 / 5800H (3.2GHz) / 옥타(8)코어,DR4 / 램 용량: 8GB / 램 교체: 가능(1슬롯),내장그래픽 / Radeon Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 65W / 충전단자: DC,1.7,,20510.0,1299.0,15.6,141.0,250.0,60.0,ASUS,5.404719747632563,1050.9498410625863,514270.0
41,ASUS 비보북 S 15 OLED K5504VN-MA113W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,외장그래픽 / Arc A350M / VRAM:4GB,M.2(NVMe) / 512GB,배터리: 75Wh / 어댑터: 90W / 충전단자: DC,1.7,USB-PD,30294.0,1445.0,15.6,141.0,600.0,120.0,ASUS,6.1689619729255885,362.8801160544464,1790000.0
42,ASUS 비보북 X1502VA-BQ079,미포함(프리도스),인텔 / 코어i5-13세대 / i5-13500H (2.6GHz) / 12코어(4P+8E),DR4 / 램 용량: 8GB / 램 교체: 가능(1슬롯),내장그래픽 / Iris Xe,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 65W / 충전단자: DC,1.7,USB-PD,22988.0,1102.0,15.6,141.0,250.0,60.0,ASUS,5.4248899320858,745.1771884733241,728000.0
43,ASUS 비보북 X1502VA-BQ079 16GB램,미포함(프리도스),인텔 / 코어i5-13세대 / i5-13500H (2.6GHz) / 12코어(4P+8E),DR4 / 램 용량: 16GB / 램 교체: 가능(1슬롯),내장그래픽 / Iris Xe,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 65W / 충전단자: DC,1.7,USB-PD,22988.0,1102.0,15.6,141.0,250.0,60.0,ASUS,5.457147996601929,702.6973984808047,776600.0
44,ASUS 비보북 고 15 E1504FA-BQ494,미포함(프리도스),AMD / 라이젠5(Zen2) / 7520U (2.8GHz) / 쿼드(4)코어,PDDR5(온보드) / 램 용량: 16GB / 5500MHz / 램 교체: 불가능,내장그래픽 / Radeon 610M,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,1.63,,9699.0,537.0,15.6,141.0,250.0,60.0,ASUS,5.32174036203285,1066.481034475521,499000.0
45,ASUS 비보북 고 15 E1504GA-BQ239,미포함(프리도스),인텔 / 코어i3 / i3-N305 (1.8GHz) / 옥타(8)코어,DR4(온보드) / 램 용량: 8GB / 램 교체: 불가능,내장그래픽 / UHD Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,1.63,,10287.0,308.0,15.6,141.0,250.0,60.0,ASUS,5.288910860603574,1332.2193603535452,397000.0
46,ASUS 비보북 고 15 E1504GA-BQ239 WIN11 16GB램,윈도우11(설치),인텔 / 코어i3 / i3-N305 (1.8GHz) / 옥타(8)코어,DR4(온보드) / 램 용량: 16GB / 램 교체: 불가능,내장그래픽 / UHD Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,1.63,,10287.0,308.0,15.6,141.0,250.0,60.0,ASUS,5.321168925119703,1371.4352899793048,478000.0
47,ASUS 비보북 고 15 OLED E1504FA-R7532D,미포함(프리도스),AMD / 라이젠5(Zen2) / 7520U (2.8GHz) / 쿼드(4)코어,PDDR5(온보드) / 램 용량: 16GB / 5500MHz / 램 교체: 불가능,내장그래픽 / Radeon 610M,M.2(NVMe) / 256GB,배터리: 50Wh / 어댑터: 65W / 충전단자: DC,1.63,,9699.0,537.0,15.6,141.0,400.0,60.0,ASUS,5.484240362032851,929.5322647513306,590000.0
48,ASUS 비보북 프로 15 OLED M6500QE-MA001 WIN11,윈도우11(설치),AMD / 라이젠7-4세대 / 5800H (3.2GHz) / 옥타(8)코어,DR4 / 램 용량: 16GB,외장그래픽 / RTX3050 Ti / VRAM:4GB,M.2(NVMe) / 512GB,배터리: 70Wh / 어댑터: 120W / 충전단자: DC,1.8,USB-PD,20510.0,1299.0,15.6,141.0,600.0,120.0,ASUS,6.000937108409834,561.4176490012849,1158890.0
49,ASUS 비보북 프로 16 K6602VV-KV141W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),DR5 / 램 용량: 16GB / 램 교체: 가능(1슬롯),외장그래픽 / RTX4060 / VRAM:8GB / MUX 스위치,M.2(NVMe) / 1TB / 저장 슬롯: 2개,배터리: 70Wh / 어댑터: 150W / 충전단자: DC,1.9,USB-PD,30294.0,1445.0,16.0,138.0,500.0,120.0,ASUS,6.060509038342125,269.35595725965,2340000.0
50,ASUS 젠북 14X OLED UX3404VA-M9129W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,내장그래픽 / Iris Xe,M.2(NVMe) / 512GB,배터리: 70Wh / 어댑터: 90W / 충전단자: 타입C,1.56,USB-PD,30294.0,1445.0,14.5,152.0,600.0,120.0,ASUS,6.250854635139117,372.10568947049853,1769860.0
51,ASUS 젠북 15 UM3504DA-BN144,미포함(프리도스),AMD / 라이젠5(Zen3+) / 7535U (2.9Hz) / 헥사(6)코어,PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,내장그래픽 / Radeon 660M,M.2(NVMe) / 512GB,배터리: 67Wh / 어댑터: 65W / 충전단자: 타입C,1.5,USB-PD,17419.0,1571.0,15.6,141.0,300.0,60.0,ASUS,5.732811595949695,557.6393751227756,1028050.0
52,ASUS 젠북 S 13 OLED UX5304VA-NQ222W,윈도우11홈,인텔 / 코어i7-13세대 / i7-1355U (1.7GHz) / 10코어(2P+8E),PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,내장그래픽 / Iris Xe,M.2(NVMe) / 512GB,배터리: 63Wh / 어댑터: 65W / 충전단자: 타입C,1.0,USB-PD,15424.0,1445.0,13.3,166.0,550.0,60.0,ASUS,6.244650755372602,430.6655693360415,1540000.0
53,ASUS 젠북 프로 16X OLED UX7602ZM-ME004W,윈도우11홈,인텔 / 코어i9-12세대 / i9-12900H (2.5GHz) / 14코어(6P+8E),PDDR5(온보드) / 램 용량: 32GB / 5200MHz / 램 교체: 불가능,외장그래픽 / RTX3060 / TGP: 95W / VRAM:6GB,M.2(NVMe) / 1TB,배터리: 96Wh / 어댑터: 240W / 충전단자: DC,2.4,USB-PD,28146.0,6697.0,16.0,138.0,550.0,60.0,ASUS,6.31294261279351,338.2235527882941,1956500.0
54,ASUS 젠북 프로 듀오 UX8402VU-P1028W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),PDDR5(온보드) / 램 용량: 32GB / 램 교체: 불가능,외장그래픽 / RTX4050 / VRAM:6GB / MUX 스위치,M.2(NVMe) / 1TB,배터리: 76Wh / 어댑터: 180W / 충전단자: DC,1.75,USB-PD,30294.0,1445.0,14.5,152.0,400.0,120.0,ASUS,6.2477373212444585,214.77268206409275,2999000.0
55,ASUS 젠북 프로 듀오 UX8402VV-P1035W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),PDDR5(온보드) / 램 용량: 32GB / 램 교체: 불가능,외장그래픽 / RTX4060 / VRAM:8GB / MUX 스위치,M.2(NVMe) / 1TB,배터리: 76Wh / 어댑터: 180W / 충전단자: DC,1.75,USB-PD,30294.0,1445.0,14.5,152.0,400.0,120.0,ASUS,6.2477373212444585,204.71477561014672,3141923.0
